@800 context (u1)
@1535698575752 s4 (95)
@1535698575767 s5 (174)
@1535698575855 s2 (ds10,94)
@1535698575905 s3 (ds5,156)
@1535698575947 s1 (ds6,138,138)
@1535698575973 s4 (163)
@1535698576041 s5 (126)
@1535698576109 s2 (ds8,81)
@1535698576150 s1 (ds8,102,102)
@1535698576193 s3 (ds4,172)
@1535698576223 s4 (180)
@1535698576292 s5 (131)
@1535698576326 s2 (ds2,130)
@1535698576369 s1 (ds8,52,52)
@1535698576406 s3 (ds10,65)
@1535698576432 s4 (84)
@1535698576547 s5 (124)
@1535698576584 s1 (ds3,147,147)
@1535698576605 s2 (ds8,165)
@1535698576705 s3 (ds10,85)
@1535698576728 s4 (138)
@1535698576787 s1 (ds7,190,190)
@1535698576828 s5 (121)
@1535698576844 s2 (ds7,80)
@1535698576915 s3 (ds5,101)
@1535698576936 s4 (163)
@1535698577082 s1 (ds5,173,173)
@1535698577110 s2 (ds10,129)
@1535698577128 s5 (131)
@1535698577142 s3 (ds1,140)
@1535698577163 s4 (128)
@1535698577328 s1 (ds4,170,170)
@1535698577362 s3 (ds3,97)
@1535698577364 s4 (130)
@1535698577393 s2 (ds3,79)
@1535698577417 s5 (73)
@1535698577571 s3 (ds2,114)
@1535698577612 s1 (ds2,196,196)
@1535698577618 s4 (177)
@1535698577632 s5 (169)
@1535698577659 s2 (ds2,197)
@1535698577804 s3 (ds1,177)
@1535698577826 s4 (156)
@1535698577863 s2 (ds9,157)
@1535698577903 s1 (ds5,141,141)
@1535698577929 s5 (168)
@1535698578086 s3 (ds8,146)
@1535698578088 s4 (176)
@1535698578133 s2 (ds7,113)
@1535698578136 s5 (56)
@1535698578174 s1 (ds1,-1,179)
@1535698578294 s4 (50)
@1535698578377 s3 (ds1,153)
@1535698578402 s2 (ds10,103)
@1535698578405 s5 (78)
@1535698578421 s1 (ds6,81,81)
@1535698578541 s4 (53)
@1535698578588 s3 (ds8,77)
@1535698578682 s2 (ds4,95)
@1535698578693 s5 (72)
@1535698578695 s1 (ds6,69,69)
@1535698578778 s4 (111)
@1535698578812 s3 (ds7,81)
@1535698578968 s1 (ds9,117,117)
@1535698578976 s2 (ds6,161)
@1535698578991 s5 (83)
@1535698579004 s4 (145)
@1535698579085 s3 (ds1,61)
@1535698579205 s1 (ds5,74,74)
@1535698579250 s5 (58)
@1535698579272 s2 (ds3,83)
@1535698579293 s4 (139)
@1535698579371 s3 (ds2,157)
@1535698579460 s5 (131)
@1535698579484 s1 (ds5,133,133)
@1535698579549 s2 (ds7,120)
@1535698579553 s4 (72)
@1535698579636 s3 (ds6,50)
@1535698579699 s5 (198)
@1535698579705 s1 (ds5,83,83)
@1535698579755 s4 (191)
@1535698579796 s2 (ds2,94)
@1535698579883 s3 (ds4,145)
@1535698579906 s1 (ds9,114,114)
@1535698579942 s5 (142)
@1535698579995 s4 (198)
@1535698580073 s2 (ds2,123)
@1535698580117 s1 (ds4,130,130)
@1535698580146 s3 (ds10,64)
@1535698580196 s4 (70)
@1535698580211 s5 (55)
@1535698580334 s2 (ds10,143)
@1535698580377 s1 (ds10,190,190)
@1535698580396 s3 (ds4,107)
@1535698580405 s4 (192)
@1535698580490 s5 (85)
@1535698580592 s2 (ds4,122)
@1535698580618 s3 (ds8,127)
@1535698580646 s1 (ds1,173,173)
@1535698580703 s4 (185)
@1535698580710 s5 (155)
@1535698580823 s2 (ds7,57)
@1535698580864 s3 (ds8,148)
@1535698580896 s1 (ds5,129,129)
@1535698580976 s5 (170)
@1535698580987 s4 (84)
@1535698581104 s2 (ds2,195)
@1535698581112 s3 (ds6,147)
@1535698581168 s1 (ds7,131,131)
@1535698581261 s5 (148)
@1535698581277 s4 (127)
@1535698581342 s3 (ds1,188)
@1535698581397 s2 (ds3,186)
@1535698581452 s1 (ds10,192,192)
@1535698581496 s5 (96)
@1535698581528 s4 (125)
@1535698581608 s3 (ds9,144)
@1535698581648 s2 (ds1,199)
@1535698581729 s5 (196)
@1535698581750 s1 (ds2,-1,135)
@1535698581776 s4 (80)
@1535698581899 s3 (ds7,116)
@1535698581936 s2 (ds6,179)
@1535698581977 s5 (92)
@1535698581978 s4 (191)
@1535698582005 s1 (ds3,136,136)
@1535698582184 s3 (ds10,165)
@1535698582187 s5 (153)
@1535698582198 s2 (ds6,179)
@1535698582208 s1 (ds4,81,81)
@1535698582237 s4 (179)
@1535698582433 s3 (ds3,141)
@1535698582436 s5 (184)
@1535698582474 s2 (ds1,154)
@1535698582476 s1 (ds6,167,167)
@1535698582531 s4 (140)
@1535698582664 s3 (ds3,115)
@1535698582679 s2 (ds4,190)
@1535698582699 s5 (73)
@1535698582743 s1 (ds5,54,54)
@1535698582744 s4 (120)
@1535698582926 s3 (ds4,179)
@1535698582950 s5 (114)
@1535698582975 s2 (ds4,173)
@1535698582995 s4 (171)
@1535698583021 s1 (ds4,55,55)
@1535698583190 s5 (158)
@1535698583190 s3 (ds5,150)
@1535698583223 s4 (147)
@1535698583246 s2 (ds7,102)
@1535698583306 s1 (ds4,187,187)
@1535698583399 s5 (67)
@1535698583440 s3 (ds5,110)
@1535698583441 s4 (82)
@1535698583483 s2 (ds4,120)
@1535698583600 s1 (ds6,138,138)
@1535698583651 s5 (115)
@1535698583691 s3 (ds9,188)
@1535698583725 s4 (94)
@1535698583764 s2 (ds7,110)
@1535698583823 s1 (ds2,161,161)
@1535698583928 s4 (96)
@1535698583929 s5 (146)
@1535698583991 s3 (ds2,114)
@1535698584013 s2 (ds8,94)
@1535698584067 s1 (ds10,82,82)
@1535698584134 s4 (66)
@1535698584203 s5 (146)
@1535698584256 s3 (ds4,184)
@1535698584272 s2 (ds3,139)
@1535698584318 s1 (ds7,109,109)
@1535698584342 s4 (103)
@1535698584412 s5 (189)
@1535698584531 s2 (ds4,137)
@1535698584553 s3 (ds3,125)
@1535698584596 s1 (ds3,126,126)
@1535698584604 s4 (121)
@1535698584710 s5 (165)
@1535698584760 s2 (ds9,117)
@1535698584801 s3 (ds7,120)
@1535698584822 s4 (110)
@1535698584861 s1 (ds5,190,190)
@1535698584974 s2 (ds5,104)
@1535698584980 s5 (57)
@1535698585062 s3 (ds4,69)
@1535698585098 s1 (ds8,50,50)
@1535698585111 s4 (186)
@1535698585234 s5 (122)
@1535698585246 s2 (ds9,68)
@1535698585309 s3 (ds5,147)
@1535698585341 s1 (ds6,99,99)
@1535698585354 s4 (174)
@1535698585478 s5 (122)
@1535698585516 s2 (ds6,123)
@1535698585588 s4 (86)
@1535698585591 s3 (ds10,178)
@1535698585615 s1 (ds6,130,130)
@1535698585748 s5 (197)
@1535698585786 s2 (ds9,58)
@1535698585874 s4 (132)
@1535698585881 s3 (ds9,57)
@1535698585900 s1 (ds2,191,191)
@1535698586004 s5 (171)
@1535698586053 s2 (ds10,76)
@1535698586122 s4 (127)
@1535698586170 s3 (ds1,71)
@1535698586196 s1 (ds7,133,133)
@1535698586250 s5 (136)
@1535698586332 s2 (ds7,179)
@1535698586362 s4 (174)
@1535698586424 s1 (ds3,88,88)
@1535698586429 s3 (ds10,139)
@1535698586534 s5 (94)
@1535698586578 s4 (76)
@1535698586627 s2 (ds2,194)
@1535698586645 s1 (ds4,133,133)
@1535698586684 s3 (ds8,72)
@1535698586744 s5 (191)
@1535698586851 s4 (106)
@1535698586893 s1 (ds9,183,183)
@1535698586900 s2 (ds1,183)
@1535698586966 s3 (ds2,54)
@1535698587036 s5 (84)
@1535698587102 s4 (194)
@1535698587121 s1 (ds10,185,185)
@1535698587162 s2 (ds9,95)
@1535698587223 s3 (ds7,102)
@1535698587330 s5 (149)
@1535698587364 s2 (ds9,178)
@1535698587368 s1 (ds9,127,127)
@1535698587393 s4 (80)
@1535698587464 s3 (ds4,148)
@1535698587569 s1 (ds7,163,163)
@1535698587593 s5 (70)
@1535698587634 s2 (ds10,51)
@1535698587659 s4 (114)
@1535698587758 s3 (ds10,118)
@1535698587827 s1 (ds9,157,157)
@1535698587856 s5 (79)
@1535698587895 s2 (ds3,64)
@1535698587915 s4 (75)
@1535698588051 s3 (ds7,93)
@1535698588107 s1 (ds5,172,172)
@1535698588140 s2 (ds2,187)
@1535698588149 s5 (123)
@1535698588193 s4 (152)
@1535698588351 s3 (ds10,81)
@1535698588358 s5 (110)
@1535698588372 s2 (ds6,149)
@1535698588408 s1 (ds8,51,51)
@1535698588489 s4 (107)
@1535698588568 s5 (158)
@1535698588604 s2 (ds5,195)
@1535698588616 s3 (ds6,90)
@1535698588681 s1 (ds9,168,168)
@1535698588689 s4 (131)
@1535698588800 s5 (93)
@1535698588817 s3 (ds4,177)
@1535698588895 s2 (ds7,64)
@1535698588900 s1 (ds2,-1,123)
@1535698588905 s4 (67)
@1535698589073 s3 (ds5,197)
@1535698589085 s5 (110)
@1535698589104 s2 (ds10,107)
@1535698589186 s1 (ds3,91,91)
@1535698589187 s4 (134)
@1535698589334 s3 (ds1,73)
@1535698589337 s5 (96)
@1535698589396 s2 (ds8,169)
@1535698589420 s1 (ds2,-1,104)
@1535698589449 s4 (150)
@1535698589597 s3 (ds4,150)
@1535698589616 s2 (ds4,113)
@1535698589621 s5 (93)
@1535698589638 s1 (ds6,76,76)
@1535698589715 s4 (61)
@1535698589821 s3 (ds5,84)
@1535698589867 s2 (ds2,190)
@1535698589921 s5 (151)
@1535698589926 s1 (ds4,191,191)
@1535698589995 s4 (84)
@1535698590089 s3 (ds1,93)
@1535698590104 s2 (ds1,151)
@1535698590186 s5 (179)
@1535698590212 s1 (ds5,120,120)
@1535698590259 s4 (155)
@1535698590381 s3 (ds7,191)
@1535698590382 s2 (ds2,159)
@1535698590456 s5 (64)
@1535698590475 s4 (131)
@1535698590494 s1 (ds6,185,185)
@1535698590616 s2 (ds9,155)
@1535698590626 s3 (ds5,86)
@1535698590719 s1 (ds7,158,158)
@1535698590751 s5 (60)
@1535698590756 s4 (163)
@1535698590863 s2 (ds10,183)
@1535698590897 s3 (ds9,100)
@1535698590941 s1 (ds3,103,103)
@1535698590984 s5 (91)
@1535698590985 s4 (126)
@1535698591123 s3 (ds9,122)
@1535698591130 s2 (ds5,115)
@1535698591197 s4 (72)
@1535698591242 s1 (ds10,186,186)
@1535698591258 s5 (190)
@1535698591387 s3 (ds2,157)
@1535698591417 s2 (ds2,181)
@1535698591478 s4 (182)
@1535698591492 s5 (175)
@1535698591493 s1 (ds4,120,120)
@1535698591659 s2 (ds4,64)
@1535698591667 s3 (ds4,105)
@1535698591735 s4 (198)
@1535698591768 s1 (ds10,113,113)
@1535698591782 s5 (177)
@1535698591933 s3 (ds6,68)
@1535698591944 s2 (ds6,106)
@1535698591975 s4 (90)
@1535698591986 s1 (ds3,164,164)
@1535698592025 s5 (92)
@1535698592165 s2 (ds3,62)
@1535698592224 s3 (ds5,126)
@1535698592237 s1 (ds4,132,132)
@1535698592263 s4 (124)
@1535698592321 s5 (147)
@1535698592403 s2 (ds3,97)
@1535698592438 s1 (ds7,63,63)
@1535698592452 s3 (ds7,184)
@1535698592488 s4 (102)
@1535698592525 s5 (110)
@1535698592654 s2 (ds2,55)
@1535698592659 s1 (ds2,163,163)
@1535698592697 s3 (ds3,173)
@1535698592703 s4 (53)
@1535698592765 s5 (81)
@1535698592899 s2 (ds1,132)
@1535698592901 s1 (ds9,58,58)
@1535698592907 s3 (ds7,134)
@1535698592928 s4 (94)
@1535698593064 s5 (146)
@1535698593109 s3 (ds3,117)
@1535698593140 s1 (ds1,184,184)
@1535698593147 s4 (74)
@1535698593196 s2 (ds9,107)
@1535698593324 s3 (ds4,150)
@1535698593329 s5 (54)
@1535698593368 s4 (134)
@1535698593418 s1 (ds4,190,190)
@1535698593418 s2 (ds1,130)
@1535698593571 s3 (ds8,182)
@1535698593576 s5 (72)
@1535698593635 s1 (ds7,183,183)
@1535698593667 s4 (78)
@1535698593690 s2 (ds9,82)
@1535698593787 s3 (ds10,126)
@1535698593853 s1 (ds3,78,78)
@1535698593872 s5 (129)
@1535698593900 s2 (ds10,120)
@1535698593942 s4 (56)
@1535698594066 s3 (ds3,144)
@1535698594119 s1 (ds6,160,160)
@1535698594126 s5 (165)
@1535698594182 s2 (ds4,83)
@1535698594200 s4 (79)
@1535698594287 s3 (ds2,130)
@1535698594343 s1 (ds6,136,136)
@1535698594351 s5 (140)
@1535698594429 s4 (56)
@1535698594476 s2 (ds5,63)
@1535698594514 s3 (ds7,74)
@1535698594602 s5 (190)
@1535698594626 s1 (ds1,174,174)
@1535698594693 s2 (ds5,170)
@1535698594712 s4 (142)
@1535698594718 s3 (ds7,100)
@1535698594845 s5 (169)
@1535698594860 s1 (ds4,77,77)
@1535698594916 s4 (112)
@1535698594918 s2 (ds2,118)
@1535698594942 s3 (ds4,164)
@1535698595066 s1 (ds5,138,138)
@1535698595091 s5 (60)
@1535698595119 s4 (86)
@1535698595153 s2 (ds8,108)
@1535698595195 s3 (ds8,118)
@1535698595266 s1 (ds8,179,179)
@1535698595345 s4 (86)
@1535698595346 s5 (170)
@1535698595387 s2 (ds1,141)
@1535698595418 s3 (ds3,190)
@1535698595543 s1 (ds1,168,168)
@1535698595569 s4 (57)
@1535698595625 s5 (165)
@1535698595630 s3 (ds1,184)
@1535698595686 s2 (ds8,142)
@1535698595752 s1 (ds3,58,58)
@1535698595819 s4 (79)
@1535698595883 s5 (105)
@1535698595913 s3 (ds3,110)
@1535698595950 s2 (ds10,190)
@1535698596002 s1 (ds2,81,81)
@1535698596031 s4 (115)
@1535698596126 s5 (54)
@1535698596150 s2 (ds4,194)
@1535698596155 s3 (ds1,110)
@1535698596256 s4 (65)
@1535698596274 s1 (ds8,168,168)
@1535698596344 s5 (86)
@1535698596359 s3 (ds2,84)
@1535698596384 s2 (ds9,196)
@1535698596490 s4 (162)
@1535698596535 s1 (ds6,104,104)
@1535698596618 s5 (91)
@1535698596648 s3 (ds6,168)
@1535698596677 s2 (ds3,147)
@1535698596754 s1 (ds2,-1,180)
@1535698596777 s4 (90)
@1535698596893 s3 (ds8,113)
@1535698596905 s5 (133)
@1535698596972 s2 (ds10,157)
@1535698596991 s4 (139)
@1535698597021 s1 (ds2,-1,54)
@1535698597117 s3 (ds1,70)
@1535698597146 s5 (93)
@1535698597209 s4 (86)
@1535698597241 s2 (ds5,95)
@1535698597257 s1 (ds3,174,174)
@1535698597375 s3 (ds5,154)
@1535698597397 s5 (52)
@1535698597443 s4 (82)
@1535698597502 s2 (ds6,61)
@1535698597541 s1 (ds4,198,198)
@1535698597604 s5 (185)
@1535698597609 s3 (ds4,156)
@1535698597680 s4 (189)
@1535698597726 s2 (ds7,199)
@1535698597810 s1 (ds8,120,120)
@1535698597901 s4 (147)
@1535698597903 s5 (143)
@1535698597908 s3 (ds8,139)
@1535698597967 s2 (ds6,129)
@1535698598105 s1 (ds5,80,80)
@1535698598130 s3 (ds6,60)
@1535698598137 s4 (138)
@1535698598189 s2 (ds8,142)
@1535698598201 s5 (174)
@1535698598307 s1 (ds3,84,84)
@1535698598406 s3 (ds1,166)
@1535698598408 s4 (130)
@1535698598408 s2 (ds7,91)
@1535698598446 s5 (92)
@1535698598542 s1 (ds3,83,83)
@1535698598613 s3 (ds4,150)
@1535698598646 s4 (145)
@1535698598692 s2 (ds8,153)
@1535698598718 s5 (105)
@1535698598811 s1 (ds6,76,76)
@1535698598817 s3 (ds9,74)
@1535698598910 s4 (111)
@1535698598957 s2 (ds3,110)
@1535698599001 s5 (106)
@1535698599056 s3 (ds2,62)
@1535698599087 s1 (ds2,-1,125)
@1535698599137 s4 (136)
@1535698599233 s2 (ds1,108)
@1535698599244 s5 (172)
@1535698599290 s3 (ds2,125)
@1535698599343 s4 (173)
@1535698599374 s1 (ds1,156,156)
@1535698599443 s2 (ds5,154)
@1535698599542 s5 (91)
@1535698599551 s3 (ds9,130)
@1535698599571 s4 (60)
@1535698599579 s1 (ds2,69,69)
@1535698599731 s2 (ds6,167)
@1535698599755 s5 (83)
@1535698599802 s3 (ds5,102)
@1535698599823 s1 (ds9,146,146)
@1535698599851 s4 (54)
@1535698599964 s2 (ds1,64)
@1535698600025 s5 (113)
@1535698600063 s1 (ds3,97,97)
@1535698600076 s3 (ds9,163)
@1535698600109 s4 (173)
@1535698600189 s2 (ds5,161)
@1535698600297 s1 (ds7,56,56)
@1535698600323 s5 (105)
@1535698600340 s4 (125)
@1535698600367 s3 (ds1,166)
@1535698600466 s2 (ds5,64)
@1535698600546 s5 (178)
@1535698600566 s1 (ds2,-1,140)
@1535698600609 s4 (197)
@1535698600613 s3 (ds2,152)
@1535698600713 s2 (ds9,163)
@1535698600784 s1 (ds9,131,131)
@1535698600819 s4 (69)
@1535698600826 s3 (ds7,72)
@1535698600828 s5 (52)
@1535698600924 s2 (ds8,149)
@1535698601044 s1 (ds4,148,148)
@1535698601052 s5 (198)
@1535698601058 s3 (ds7,64)
@1535698601081 s4 (140)
@1535698601210 s2 (ds3,179)
@1535698601256 s1 (ds9,181,181)
@1535698601295 s3 (ds7,174)
@1535698601310 s5 (67)
@1535698601373 s4 (59)
@1535698601467 s2 (ds3,133)
@1535698601471 s1 (ds7,193,193)
@1535698601535 s3 (ds5,113)
@1535698601555 s5 (193)
@1535698601610 s4 (169)
@1535698601673 s2 (ds9,104)
@1535698601678 s1 (ds9,98,98)
@1535698601799 s3 (ds9,139)
@1535698601823 s5 (72)
@1535698601824 s4 (87)
@1535698601928 s1 (ds5,65,65)
@1535698601928 s2 (ds6,121)
@1535698602014 s3 (ds10,92)
@1535698602052 s4 (56)
@1535698602058 s5 (187)
@1535698602133 s2 (ds4,155)
@1535698602169 s1 (ds3,50,50)
@1535698602285 s5 (164)
@1535698602311 s3 (ds7,145)
@1535698602337 s4 (152)
@1535698602404 s1 (ds5,105,105)
@1535698602426 s2 (ds10,54)
@1535698602513 s5 (106)
@1535698602586 s3 (ds2,193)
@1535698602628 s4 (110)
@1535698602678 s1 (ds6,102,102)
@1535698602697 s2 (ds5,100)
@1535698602791 s3 (ds5,113)
@1535698602806 s5 (130)
@1535698602854 s4 (66)
@1535698602904 s1 (ds2,-1,171)
@1535698602945 s2 (ds3,103)
@1535698603046 s5 (80)
@1535698603050 s3 (ds8,154)
@1535698603093 s4 (176)
@1535698603178 s1 (ds6,54,54)
@1535698603214 s2 (ds10,185)
@1535698603283 s5 (95)
@1535698603321 s3 (ds3,97)
@1535698603365 s4 (172)
@1535698603457 s1 (ds3,102,102)
@1535698603462 s2 (ds9,132)
@1535698603509 s5 (126)
@1535698603541 s3 (ds3,196)
@1535698603648 s4 (157)
@1535698603671 s2 (ds3,73)
@1535698603684 s1 (ds1,146,146)
@1535698603752 s3 (ds4,86)
@1535698603778 s5 (73)
@1535698603867 s4 (137)
@1535698603921 s2 (ds9,163)
@1535698603962 s1 (ds10,130,130)
@1535698603988 s3 (ds3,113)
@1535698604048 s5 (134)
@1535698604153 s4 (102)
@1535698604182 s2 (ds8,147)
@1535698604220 s3 (ds8,155)
@1535698604247 s1 (ds8,117,117)
@1535698604272 s5 (80)
@1535698604427 s4 (166)
@1535698604456 s2 (ds2,195)
@1535698604497 s5 (149)
@1535698604515 s3 (ds7,178)
@1535698604547 s1 (ds5,167,167)
@1535698604694 s4 (71)
@1535698604745 s5 (159)
@1535698604752 s2 (ds9,168)
@1535698604754 s1 (ds10,75,75)
@1535698604766 s3 (ds8,147)
@1535698604911 s4 (72)
@1535698604974 s2 (ds10,189)
@1535698604998 s3 (ds8,51)
@1535698605017 s1 (ds6,69,69)
@1535698605038 s5 (183)
@1535698605140 s4 (197)
@1535698605235 s2 (ds1,170)
@1535698605243 s5 (158)
@1535698605264 s3 (ds3,151)
@1535698605272 s1 (ds8,110,110)
@1535698605429 s4 (72)
@1535698605468 s2 (ds2,160)
@1535698605524 s1 (ds2,113,113)
@1535698605527 s3 (ds7,174)
@1535698605535 s5 (167)
@1535698605671 s4 (159)
@1535698605719 s2 (ds9,92)
@1535698605799 s3 (ds7,158)
@1535698605814 s1 (ds6,86,86)
@1535698605823 s5 (183)
@1535698605941 s2 (ds8,164)
@1535698605945 s4 (135)
@1535698606049 s1 (ds6,109,109)
@1535698606059 s3 (ds3,191)
@1535698606091 s5 (62)
@1535698606151 s4 (92)
@1535698606188 s2 (ds5,150)
@1535698606277 s1 (ds1,-1,64)
@1535698606296 s3 (ds2,120)
@1535698606315 s5 (123)
@1535698606424 s2 (ds10,99)
@1535698606428 s4 (155)
@1535698606519 s3 (ds1,79)
@1535698606550 s5 (89)
@1535698606577 s1 (ds3,109,109)
@1535698606641 s4 (100)
@1535698606669 s2 (ds6,111)
@1535698606735 s3 (ds2,170)
@1535698606767 s5 (102)
@1535698606846 s1 (ds10,57,57)
@1535698606904 s2 (ds7,194)
@1535698606915 s4 (167)
@1535698607005 s5 (112)
@1535698607015 s3 (ds1,179)
@1535698607071 s1 (ds6,131,131)
@1535698607181 s2 (ds7,163)
@1535698607186 s4 (123)
@1535698607237 s3 (ds9,142)
@1535698607267 s5 (67)
@1535698607320 s1 (ds8,95,95)
@1535698607401 s2 (ds7,75)
@1535698607441 s4 (77)
@1535698607470 s3 (ds6,177)
@1535698607477 s5 (72)
@1535698607579 s1 (ds1,138,138)
@1535698607658 s2 (ds8,116)
@1535698607693 s4 (147)
@1535698607703 s3 (ds2,159)
@1535698607714 s5 (129)
@1535698607788 s1 (ds8,97,97)
@1535698607888 s2 (ds10,133)
@1535698607902 s4 (188)
@1535698607949 s5 (145)
@1535698607957 s3 (ds9,171)
@1535698608074 s1 (ds9,67,67)
@1535698608171 s2 (ds1,101)
@1535698608199 s4 (123)
@1535698608205 s3 (ds8,156)
@1535698608212 s5 (155)
@1535698608358 s1 (ds4,91,91)
@1535698608407 s4 (108)
@1535698608437 s3 (ds2,164)
@1535698608439 s2 (ds1,179)
@1535698608453 s5 (111)
@1535698608587 s1 (ds4,72,72)
@1535698608620 s4 (196)
@1535698608677 s3 (ds3,152)
@1535698608713 s2 (ds1,96)
@1535698608720 s5 (159)
@1535698608871 s1 (ds8,103,103)
@1535698608888 s3 (ds1,182)
@1535698608917 s4 (177)
@1535698608939 s5 (68)
@1535698608985 s2 (ds9,126)
@1535698609106 s1 (ds3,105,105)
@1535698609107 s3 (ds4,185)
@1535698609205 s4 (124)
@1535698609213 s5 (171)
@1535698609279 s2 (ds4,180)
@1535698609324 s1 (ds6,171,171)
@1535698609362 s3 (ds5,60)
@1535698609443 s4 (63)
@1535698609504 s5 (90)
@1535698609551 s1 (ds10,168,168)
@1535698609556 s2 (ds10,193)
@1535698609604 s3 (ds6,182)
@1535698609657 s4 (166)
@1535698609724 s5 (78)
@1535698609752 s1 (ds8,97,97)
@1535698609792 s2 (ds6,111)
@1535698609830 s3 (ds2,96)
@1535698609889 s4 (97)
@1535698609971 s1 (ds7,174,174)
@1535698610000 s5 (140)
@1535698610036 s3 (ds8,101)
@1535698610056 s2 (ds1,173)
@1535698610178 s4 (181)
@1535698610206 s1 (ds4,61,61)
@1535698610290 s3 (ds5,185)
@1535698610297 s5 (125)
@1535698610344 s2 (ds4,134)
@1535698610400 s4 (138)
@1535698610505 s1 (ds6,122,122)
@1535698610552 s3 (ds3,122)
@1535698610569 s5 (65)
@1535698610605 s2 (ds4,131)
@1535698610700 s4 (119)
@1535698610723 s1 (ds6,61,61)
@1535698610808 s3 (ds6,199)
@1535698610812 s2 (ds3,173)
@1535698610866 s5 (108)
@1535698610919 s4 (183)
@1535698611011 s1 (ds7,197,197)
@1535698611048 s2 (ds9,83)
@1535698611082 s3 (ds6,83)
@1535698611111 s5 (55)
@1535698611127 s4 (88)
@1535698611281 s2 (ds7,67)
@1535698611283 s3 (ds4,89)
@1535698611293 s1 (ds6,71,71)
@1535698611356 s5 (161)
@1535698611395 s4 (130)
@1535698611499 s3 (ds2,99)
@1535698611533 s1 (ds5,63,63)
@1535698611554 s2 (ds10,147)
@1535698611622 s4 (180)
@1535698611623 s5 (74)
@1535698611708 s3 (ds5,131)
@1535698611739 s1 (ds1,-1,195)
@1535698611834 s2 (ds1,167)
@1535698611839 s5 (62)
@1535698611874 s4 (142)
@1535698611974 s3 (ds6,149)
@1535698611986 s1 (ds10,157,157)
@1535698612052 s5 (129)
@1535698612101 s2 (ds8,143)
@1535698612153 s4 (140)
@1535698612211 s1 (ds8,93,93)
@1535698612246 s3 (ds3,158)
@1535698612301 s5 (181)
@1535698612373 s4 (84)
@1535698612391 s2 (ds5,104)
@1535698612461 s1 (ds1,105,105)
@1535698612540 s3 (ds9,147)
@1535698612586 s5 (64)
@1535698612586 s4 (104)
@1535698612595 s2 (ds7,71)
@1535698612685 s1 (ds7,58,58)
@1535698612793 s3 (ds4,157)
@1535698612833 s2 (ds1,168)
@1535698612851 s4 (68)
@1535698612874 s5 (148)
@1535698612920 s1 (ds9,67,67)
@1535698613041 s3 (ds7,121)
@1535698613080 s2 (ds3,119)
@1535698613083 s5 (117)
@1535698613121 s4 (95)
@1535698613155 s1 (ds2,-1,110)
@1535698613267 s3 (ds5,155)
@1535698613344 s5 (84)
@1535698613354 s4 (152)
@1535698613361 s2 (ds10,199)
