@800 context (u1)
@1535700844494 s2 (ds1,146)
@1535700844554 s5 (149)
@1535700844581 s4 (123)
@1535700844692 s3 (ds1,142)
@1535700844701 s2 (ds1,99)
@1535700844745 s1 (ds1,193,193)
@1535700844782 s5 (184)
@1535700844853 s4 (193)
@1535700844947 s2 (ds1,149)
@1535700844965 s3 (ds1,104)
@1535700845017 s1 (ds1,154,154)
@1535700845018 s5 (117)
@1535700845075 s4 (102)
@1535700845178 s2 (ds1,194)
@1535700845190 s3 (ds1,110)
@1535700845299 s1 (ds1,69,69)
@1535700845300 s5 (106)
@1535700845376 s4 (149)
@1535700845412 s2 (ds1,80)
@1535700845475 s3 (ds1,69)
@1535700845540 s5 (122)
@1535700845573 s1 (ds1,175,175)
@1535700845640 s2 (ds1,78)
@1535700845652 s4 (151)
@1535700845751 s5 (167)
@1535700845769 s3 (ds1,67)
@1535700845795 s1 (ds1,197,197)
@1535700845864 s2 (ds1,158)
@1535700845937 s4 (185)
@1535700845987 s3 (ds1,190)
@1535700846018 s5 (120)
@1535700846087 s1 (ds1,108,108)
@1535700846152 s4 (187)
@1535700846163 s2 (ds1,151)
@1535700846230 s3 (ds1,132)
@1535700846311 s5 (177)
@1535700846367 s2 (ds1,111)
@1535700846368 s1 (ds1,-1,199)
@1535700846425 s4 (135)
@1535700846450 s3 (ds1,189)
@1535700846532 s5 (156)
@1535700846633 s1 (ds1,64,64)
@1535700846640 s4 (190)
@1535700846662 s3 (ds1,65)
@1535700846667 s2 (ds1,188)
@1535700846766 s5 (61)
@1535700846871 s4 (146)
@1535700846918 s1 (ds1,60,60)
@1535700846939 s3 (ds1,72)
@1535700846956 s2 (ds1,118)
@1535700847052 s5 (50)
@1535700847150 s4 (51)
@1535700847190 s3 (ds1,86)
@1535700847194 s1 (ds1,98,98)
@1535700847202 s2 (ds1,122)
@1535700847275 s5 (142)
@1535700847412 s1 (ds1,194,194)
@1535700847442 s4 (136)
@1535700847472 s3 (ds1,80)
@1535700847489 s2 (ds1,102)
@1535700847517 s5 (169)
@1535700847620 s1 (ds1,188,188)
@1535700847668 s4 (102)
@1535700847697 s2 (ds1,50)
@1535700847770 s3 (ds1,93)
@1535700847812 s5 (67)
@1535700847898 s1 (ds1,128,128)
@1535700847904 s2 (ds1,87)
@1535700847958 s4 (183)
@1535700848002 s3 (ds1,70)
@1535700848072 s5 (165)
@1535700848148 s2 (ds1,167)
@1535700848157 s1 (ds1,176,176)
@1535700848165 s4 (197)
@1535700848248 s3 (ds1,111)
@1535700848332 s5 (139)
@1535700848367 s2 (ds1,170)
@1535700848385 s1 (ds1,91,91)
@1535700848418 s4 (89)
@1535700848535 s3 (ds1,81)
@1535700848537 s5 (61)
@1535700848590 s1 (ds1,52,52)
@1535700848614 s2 (ds1,115)
@1535700848718 s4 (70)
@1535700848744 s3 (ds1,185)
@1535700848829 s5 (192)
@1535700848847 s2 (ds1,143)
@1535700848855 s1 (ds1,93,93)
@1535700848968 s3 (ds1,79)
@1535700849006 s4 (182)
@1535700849055 s5 (98)
@1535700849100 s2 (ds1,187)
@1535700849131 s1 (ds1,61,61)
@1535700849226 s3 (ds1,90)
@1535700849233 s4 (125)
@1535700849312 s5 (62)
@1535700849362 s1 (ds1,199,199)
@1535700849398 s2 (ds1,162)
@1535700849434 s3 (ds1,137)
@1535700849529 s4 (180)
@1535700849547 s5 (114)
@1535700849589 s1 (ds1,181,181)
@1535700849662 s2 (ds1,102)
@1535700849697 s3 (ds1,167)
@1535700849816 s4 (147)
@1535700849819 s5 (65)
@1535700849866 s1 (ds1,81,81)
@1535700849911 s3 (ds1,179)
@1535700849949 s2 (ds1,100)
@1535700850052 s4 (103)
@1535700850084 s1 (ds1,112,112)
@1535700850110 s5 (102)
@1535700850161 s2 (ds1,99)
@1535700850202 s3 (ds1,112)
@1535700850257 s4 (149)
@1535700850356 s5 (190)
@1535700850380 s2 (ds1,188)
@1535700850500 s3 (ds1,144)
@1535700850517 s4 (72)
@1535700850540 s1 (ds1,-1,74)
@1535700850607 s5 (93)
@1535700850607 s2 (ds1,149)
@1535700850795 s3 (ds1,98)
@1535700850809 s4 (171)
@1535700850830 s1 (ds1,170,170)
@1535700850845 s2 (ds1,154)
@1535700850868 s5 (115)
@1535700851031 s1 (ds1,135,135)
@1535700851039 s4 (65)
@1535700851053 s3 (ds1,164)
@1535700851082 s5 (170)
@1535700851117 s2 (ds1,162)
@1535700851244 s1 (ds1,111,111)
@1535700851272 s3 (ds1,61)
@1535700851286 s4 (67)
@1535700851367 s5 (155)
@1535700851414 s2 (ds1,164)
@1535700851451 s1 (ds1,136,136)
@1535700851473 s3 (ds1,194)
@1535700851571 s4 (194)
@1535700851577 s5 (164)
@1535700851653 s1 (ds1,-1,182)
@1535700851683 s2 (ds1,130)
@1535700851700 s3 (ds1,54)
@1535700851846 s5 (169)
@1535700851857 s4 (99)
@1535700851937 s1 (ds1,98,98)
@1535700851978 s2 (ds1,129)
@1535700851993 s3 (ds1,67)
@1535700852053 s5 (192)
@1535700852076 s4 (115)
@1535700852201 s3 (ds1,53)
@1535700852234 s1 (ds1,53,53)
@1535700852244 s2 (ds1,129)
@1535700852297 s4 (52)
@1535700852310 s5 (101)
@1535700852472 s1 (ds1,92,92)
@1535700852474 s3 (ds1,57)
@1535700852508 s4 (118)
@1535700852528 s2 (ds1,130)
@1535700852605 s5 (139)
@1535700852708 s3 (ds1,103)
@1535700852747 s4 (181)
@1535700852767 s1 (ds1,108,108)
@1535700852768 s2 (ds1,74)
@1535700852873 s5 (114)
@1535700852965 s4 (132)
@1535700852968 s1 (ds1,126,126)
@1535700852970 s3 (ds1,84)
@1535700853028 s2 (ds1,62)
@1535700853137 s5 (140)
@1535700853177 s3 (ds1,57)
@1535700853187 s1 (ds1,154,154)
@1535700853214 s4 (74)
@1535700853305 s2 (ds1,144)
@1535700853395 s5 (73)
@1535700853404 s1 (ds1,136,136)
@1535700853455 s3 (ds1,100)
@1535700853514 s4 (102)
@1535700853550 s2 (ds1,145)
@1535700853614 s5 (174)
@1535700853674 s1 (ds1,121,121)
@1535700853739 s4 (185)
@1535700853749 s3 (ds1,195)
@1535700853835 s2 (ds1,191)
@1535700853899 s5 (136)
@1535700853912 s1 (ds1,-1,126)
@1535700853998 s3 (ds1,179)
@1535700854006 s4 (83)
@1535700854107 s2 (ds1,189)
@1535700854162 s5 (144)
@1535700854176 s1 (ds1,111,111)
@1535700854229 s4 (172)
@1535700854268 s3 (ds1,156)
@1535700854373 s2 (ds1,84)
@1535700854421 s1 (ds1,166,166)
@1535700854431 s5 (78)
@1535700854460 s4 (123)
@1535700854568 s3 (ds1,146)
@1535700854631 s2 (ds1,124)
@1535700854663 s5 (97)
@1535700854689 s1 (ds1,193,193)
@1535700854751 s4 (114)
@1535700854846 s3 (ds1,142)
@1535700854899 s1 (ds1,113,113)
@1535700854902 s2 (ds1,125)
@1535700854947 s5 (96)
@1535700854994 s4 (77)
@1535700855079 s3 (ds1,198)
@1535700855132 s1 (ds1,53,53)
@1535700855151 s2 (ds1,150)
@1535700855172 s5 (146)
@1535700855242 s4 (128)
@1535700855339 s3 (ds1,138)
@1535700855383 s1 (ds1,180,180)
@1535700855392 s5 (92)
@1535700855436 s2 (ds1,83)
@1535700855450 s4 (118)
@1535700855564 s3 (ds1,87)
@1535700855675 s5 (186)
@1535700855679 s1 (ds1,90,90)
@1535700855710 s2 (ds1,119)
@1535700855713 s4 (86)
@1535700855812 s3 (ds1,183)
@1535700855896 s1 (ds1,127,127)
@1535700855927 s2 (ds1,72)
@1535700855962 s5 (177)
@1535700855986 s4 (124)
@1535700856022 s3 (ds1,83)
@1535700856110 s1 (ds1,153,153)
@1535700856194 s2 (ds1,183)
@1535700856216 s5 (89)
@1535700856243 s3 (ds1,170)
@1535700856285 s4 (131)
@1535700856350 s1 (ds1,157,157)
@1535700856396 s2 (ds1,176)
@1535700856441 s5 (146)
@1535700856448 s3 (ds1,168)
@1535700856494 s4 (71)
@1535700856633 s2 (ds1,95)
@1535700856646 s1 (ds1,51,51)
@1535700856689 s5 (148)
@1535700856722 s4 (52)
@1535700856747 s3 (ds1,158)
@1535700856914 s2 (ds1,107)
@1535700856929 s1 (ds1,63,63)
@1535700856956 s4 (103)
@1535700856981 s5 (81)
@1535700856990 s3 (ds1,119)
@1535700857127 s2 (ds1,186)
@1535700857194 s5 (137)
@1535700857228 s1 (ds1,113,113)
@1535700857242 s4 (103)
@1535700857256 s3 (ds1,69)
@1535700857354 s2 (ds1,166)
@1535700857439 s5 (95)
@1535700857467 s1 (ds1,110,110)
@1535700857515 s3 (ds1,109)
@1535700857541 s4 (129)
@1535700857610 s2 (ds1,70)
@1535700857675 s5 (96)
@1535700857683 s1 (ds1,127,127)
@1535700857774 s3 (ds1,141)
@1535700857798 s4 (181)
@1535700857835 s2 (ds1,95)
@1535700857893 s5 (159)
@1535700857972 s1 (ds1,102,102)
@1535700858021 s4 (180)
@1535700858071 s3 (ds1,98)
@1535700858112 s5 (159)
@1535700858120 s2 (ds1,102)
@1535700858266 s1 (ds1,105,105)
@1535700858315 s4 (149)
@1535700858344 s2 (ds1,164)
@1535700858369 s3 (ds1,108)
@1535700858400 s5 (51)
@1535700858542 s1 (ds1,165,165)
@1535700858563 s4 (155)
@1535700858577 s2 (ds1,101)
@1535700858624 s3 (ds1,106)
@1535700858700 s5 (137)
@1535700858761 s1 (ds1,165,165)
@1535700858809 s2 (ds1,93)
@1535700858810 s4 (148)
@1535700858862 s3 (ds1,188)
@1535700858922 s5 (110)
@1535700858961 s1 (ds1,84,84)
@1535700859026 s4 (67)
@1535700859039 s2 (ds1,122)
@1535700859137 s3 (ds1,137)
@1535700859183 s1 (ds1,56,56)
@1535700859198 s5 (128)
@1535700859274 s2 (ds1,118)
@1535700859320 s4 (59)
@1535700859372 s3 (ds1,130)
@1535700859529 s2 (ds1,74)
@1535700859557 s4 (88)
